,Region,Total_GW_count,Total,Total_GW_min,Total_GW_max,Total_GW_mean,coal_GW_count,coal_GW,coal_GW_min,coal_GW_max,coal_GW_mean,naturalGas_GW_count,naturalGas_GW,naturalGas_GW_min,naturalGas_GW_max,naturalGas_GW_mean,petroleum_GW_count,petroleum_GW,petroleum_GW_min,petroleum_GW_max,petroleum_GW_mean,hydropower_GW_count,hydropower_GW,hydropower_GW_min,hydropower_GW_max,hydropower_GW_mean,hydropowerPS_GW_count,hydropowerPS_GW,hydropowerPS_GW_min,hydropowerPS_GW_max,hydropowerPS_GW_mean,nuclear_GW_count,nuclear_GW,nuclear_GW_min,nuclear_GW_max,nuclear_GW_mean,pv_GW_count,pv_GW,pv_GW_min,pv_GW_max,pv_GW_mean,wind_GW_count,wind_GW,wind_GW_min,wind_GW_max,wind_GW_mean,geothermal_GW_count,geothermal_GW,geothermal_GW_min,geothermal_GW_max,geothermal_GW_mean,biopower_GW_count,biopower_GW,biopower_GW_min,biopower_GW_max,biopower_GW_mean,battery_GW_count,battery,battery_GW_min,battery_GW_max,battery_GW_mean
31,New Mexico,534.0,63.6,0.0,3.1,0.1,10.0,16.5,0.8,3.1,1.6,102.0,26.2,0.0,2.2,0.3,74.0,0.8,0.0,0.2,0.0,86.0,5.2,0.0,1.2,0.1,1.0,0.0,0.0,0.0,0.0,2.0,3.1,1.2,1.8,1.5,126.0,1.6,0.0,0.2,0.0,85.0,9.2,0.0,0.5,0.1,3.0,0.0,0.0,0.0,0.0,54.0,0.8,0.0,0.1,0.0,7.0,0.0,0.0,0.0,0.0
32,New York,2521.0,234.6,0.0,3.2,0.1,51.0,40.9,0.0,3.2,0.8,484.0,89.9,0.0,2.6,0.2,378.0,11.1,0.0,1.6,0.0,435.0,16.5,0.0,2.4,0.0,9.0,3.4,0.0,1.2,0.4,14.0,22.0,0.6,2.6,1.6,665.0,6.3,0.0,0.3,0.0,384.0,39.4,0.0,0.5,0.1,16.0,0.5,0.0,0.1,0.0,168.0,2.8,0.0,0.1,0.0,49.0,0.6,0.0,0.2,0.0
33,North Carolina,2915.0,387.4,0.0,3.8,0.1,97.0,84.3,0.0,3.4,0.9,560.0,166.1,0.0,2.5,0.3,327.0,5.5,0.0,1.1,0.0,473.0,29.7,0.0,2.4,0.1,12.0,11.6,0.0,3.0,1.0,16.0,29.8,1.0,3.8,1.9,825.0,7.3,0.0,0.2,0.0,424.0,44.6,0.0,0.5,0.1,19.0,1.1,0.0,0.6,0.1,222.0,4.5,0.0,0.1,0.0,63.0,1.1,0.0,0.3,0.0
34,North Dakota,401.0,65.9,0.0,3.9,0.2,25.0,18.3,0.0,1.5,0.7,68.0,16.8,0.0,1.2,0.2,54.0,1.0,0.0,0.2,0.0,66.0,4.6,0.0,2.1,0.1,5.0,2.2,0.0,1.6,0.4,7.0,13.7,0.9,3.9,2.0,66.0,1.1,0.0,0.2,0.0,59.0,6.5,0.0,0.5,0.1,9.0,0.2,0.0,0.0,0.0,39.0,1.1,0.0,0.1,0.0,17.0,0.1,0.0,0.0,0.0
35,Ohio,986.0,159.5,0.0,7.1,0.2,49.0,46.2,0.0,2.9,0.9,179.0,53.3,0.0,2.8,0.3,149.0,3.6,0.0,0.6,0.0,153.0,13.5,0.0,6.8,0.1,9.0,4.1,0.0,1.2,0.4,11.0,18.3,0.9,3.8,1.7,189.0,3.3,0.0,0.3,0.0,145.0,13.1,0.0,0.7,0.1,13.0,1.0,0.0,0.6,0.1,95.0,1.9,0.0,0.1,0.0,41.0,0.3,0.0,0.0,0.0
36,Oklahoma,633.0,92.2,0.0,2.9,0.2,22.0,16.9,0.0,2.9,0.8,124.0,39.4,0.0,2.8,0.3,93.0,2.1,0.0,1.1,0.0,115.0,9.4,0.0,1.8,0.1,2.0,0.8,0.3,0.6,0.4,3.0,6.3,1.2,2.6,2.1,127.0,1.4,0.0,0.2,0.0,112.0,14.4,0.0,0.4,0.1,3.0,0.1,0.0,0.1,0.0,57.0,0.9,0.0,0.1,0.0,14.0,0.2,0.0,0.1,0.0
37,Oregon,1034.0,154.3,0.0,3.1,0.2,34.0,28.5,0.0,3.1,0.8,184.0,54.7,0.0,1.9,0.3,118.0,1.4,0.0,0.2,0.0,176.0,14.5,0.0,2.1,0.1,14.0,7.3,0.0,2.2,0.5,15.0,26.7,0.8,2.6,1.8,258.0,3.8,0.0,0.3,0.0,156.0,13.8,0.0,0.4,0.1,16.0,0.4,0.0,0.1,0.0,82.0,1.6,0.0,0.1,0.0,25.0,0.3,0.0,0.1,0.0
38,Pennsylvania,1225.0,173.3,0.0,2.6,0.1,51.0,34.0,0.0,2.4,0.7,234.0,68.0,0.0,1.8,0.3,182.0,8.4,0.0,1.5,0.0,200.0,11.9,0.0,1.3,0.1,12.0,5.2,0.0,1.2,0.4,13.0,23.0,0.8,2.6,1.8,239.0,2.3,0.0,0.1,0.0,181.0,16.4,0.0,0.3,0.1,13.0,0.4,0.0,0.1,0.0,122.0,2.6,0.0,0.1,0.0,32.0,0.6,0.0,0.2,0.0
39,Puerto Rico,175.0,18.6,0.0,2.1,0.1,2.0,1.5,0.4,1.0,0.7,33.0,8.6,0.0,1.1,0.3,28.0,3.9,0.0,1.5,0.1,33.0,0.6,0.0,0.2,0.0,0.0,0.0,,,,0.0,0.0,,,,52.0,0.4,0.0,0.1,0.0,25.0,3.5,0.0,0.4,0.1,0.0,0.0,,,,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
40,Rhode Island,204.0,18.0,0.0,2.4,0.1,2.0,1.8,0.6,1.2,0.9,39.0,10.9,0.0,1.2,0.3,18.0,0.1,0.0,0.0,0.0,37.0,3.2,0.0,2.4,0.1,0.0,0.0,,,,0.0,0.0,,,,75.0,0.5,0.0,0.1,0.0,32.0,1.3,0.0,0.3,0.0,0.0,0.0,,,,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
